,id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
201,359,France,"Up the slope above the Grand Cru of Le Montrachet, this vineyard once grew hemp (hence the name, cheneve). This poised wine is both stylish and rich, with good acidity allied to ripe apple and citrus fruits, cut through the mineral texture and promise a generous wine as it ages. Drink from 2020.",Les Chenevottes Premier Cru,95,110,Burgundy,Chassagne-Montrachet,,Roger Voss,@vossroger,Philippe Colin 2014 Les Chenevottes Premier Cru  (Chassagne-Montrachet),Chardonnay,Philippe Colin
202,360,Australia,"Bacon and tapenade elements merge easily on the nose, followed by a wine that's full bodied and creamy textured on the palate. This is dark and meaty in profile, yet not heavy or cooked, with a long, harmonious finish. Drink now‚Äì2030.",Descendant,95,125,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Torbreck 2012 Descendant Shiraz-Viognier (Barossa Valley),Shiraz-Viognier,Torbreck
203,361,Italy,"Enticing scents of ripe berry, underbrush, grilled herb and eucalyptus mingle together along with an underlying fragrance of rose petal. Elegant and fresh, the impeccably balanced palate delivers tart red cherry, cake spice, white pepper and mineral nuances alongside polished tannins. Drink 2018‚Äì2028.",Simposio,95,60,Piedmont,Barolo,,Kerin O‚ÄôKeefe,@kerinokeefe,Bel Colle 2012 Simposio  (Barolo),Nebbiolo,Bel Colle
204,362,US,"As impressive as the woman‚Äîa pioneer in the Napa Valley‚Äîwas herself, this 100% varietal wine from the estate property high atop Diamond Mountain is powerfully elegant, intense yet refined. It begins with a high-toned, graceful entry that's rich in blueberry and chocolate, the oak smooth and integrated, with a suggestion of hand-rolled tobacco. Drink now through 2022.",Jamie,95,200,California,Diamond Mountain District,Napa,Virginie Boone,@vboone,J. Davies 2012 Jamie Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,J. Davies
205,364,US,"For 2014, the Weber is the star of a very fine Winderlea lineup. Dark and deeply concentrated, it's jammed with black cherry fruit, annotated with anise and showing a hint of gunmetal. The tannins are ripe and taste of clean earth. This is a fine candidate for aging. Drink now through 2030.",Weber Vineyard,95,48,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine¬†,Winderlea 2014 Weber Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Winderlea
206,365,Australia,"The Taylor family selected Clare Valley for its Cabernet affinity, but this Shiraz is a knockout. Yes, it's oaky‚Äîfull of menthol, vanilla and toasted coconut‚Äîbut there's just enough black cherry and plum fruit to support the wood. It's a plush, full-bodied wine with immense appeal, for drinking now‚Äì2025.",St. Andrews Single Vineyard Release,95,60,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2013 St. Andrews Single Vineyard Release Shiraz (Clare Valley),Shiraz,Wakefield
207,366,Italy,"This spends 12 months in oak and it shows: It offers aromas of liquid smoke and flavors of brown sugar, honey and caramel. The fruit is subdued, leaving the emphasis on the oak and mineral components. Try with rich but delicately flavored fish dishes or mild ch√®vres.",Vorberg,88,21,Northeastern Italy,Alto Adige,,Joe Czerwinski,@JoeCz,Cantina Terlano 2000 Vorberg Pinot Bianco (Alto Adige),Pinot Bianco,Cantina Terlano
208,370,US,"Mint again, with earth and tobacco; one taster found traces of bell pepper. Coffee and brown sugar further soften a supple, mature mouthfeel. Drink now.",Cherryblock Vineyard,88,160,California,Sonoma Valley,Sonoma,,,Sebastiani 1991 Cherryblock Vineyard Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Sebastiani
209,371,Italy,"Fragrant, aromatic, grassy aromas give way to fresh, crisp, green fruit and gooseberry flavors. Finishes lively and vibrant.",Castel Ringberg,88,23,Northeastern Italy,Alto Adige,,Roger Voss,@vossroger,Elena Walch 2002 Castel Ringberg Sauvignon Blanc (Alto Adige),Sauvignon Blanc,Elena Walch
210,372,Italy,"A fresh, crisp style of Soave, brimming with green plum and light acidity. It has concentration and a light touch in equal measure.",Classico,88,10,Veneto,Soave,,Roger Voss,@vossroger,Gini 2002 Classico  (Soave),White Blend,Gini
211,373,Italy,"Crisp, green, grassy wine with fresh acidity and herbeceous character. It is very New World with its tropical flavors and open, forward fruit.",I Fiori del Borgo,88,15,Northeastern Italy,Collio,,Roger Voss,@vossroger,Borgo Conventi 2002 I Fiori del Borgo Sauvignon Blanc (Collio),Sauvignon Blanc,Borgo Conventi
212,374,US,"An irresistibly drinkable white wine, filled with the juiciest flavors of citrus fruits, fig, melon and peach, and just the tiniest bit sweet. Crisp acidity cleanses the palate and leaves it feeling minty fresh on the long, spicy finish.",Kathleen's Vineyard,88,19,California,Mendocino County,,,,Ceago Vinegarden 2001 Kathleen's Vineyard Sauvignon Blanc (Mendocino County),Sauvignon Blanc,Ceago Vinegarden
213,375,Italy,"A soft, ripe wine that manages to showcase tobacco, earth and black cherry flavors in a relatively lightweight format, finishing long and tart.",Vino in Musica,88,40,Tuscany,Toscana,,,,Valiano 1997 Vino in Musica Sangiovese (Toscana),Sangiovese,Valiano
214,376,Italy,"A well-judged, well-structured wine that balances fresh, crisp and light fruit against flavors of peaches, almonds and cinnamon. It will be better in two or three years' time.",Zuc de Volpe,88,18,Northeastern Italy,Colli Orientali del Friuli,,Roger Voss,@vossroger,Volpe Pasini 2002 Zuc de Volpe Pinot Grigio (Colli Orientali del Friuli),Pinot Grigio,Volpe Pasini
215,379,Italy,"This blend of Chardonnay, Nosiola and Pinot Bianco offers up apples and cream on the nose, along with flavors of peach and citrus. It's a comfortable mix of fruit that finishes lively and fresh, making it a fine ap√©ritif.",Bianco dei Sorni,88,15,Northeastern Italy,Trentino,,Joe Czerwinski,@JoeCz,La Vis 2001 Bianco dei Sorni White (Trentino),White Blend,La Vis
216,381,Italy,It's testament to this wine's balance that it remains so alive and fresh long after many other Biancos have faded. Intensely mineral aromas mix with notes of smoke and fresh apples; the flavors are earthy and hint at mineral oil. Long on the finish. Best Buy.,Vigne Alte,88,11,Veneto,Bianco di Custoza,,Joe Czerwinski,@JoeCz,Fratelli Zeni 2000 Vigne Alte  (Bianco di Custoza),White Blend,Fratelli Zeni
217,383,Italy,"This lovely Chardonnay has just the right blend of juicy peaches and subtle herbs and flowers to make it easy to drink, yet interesting enough to hold your attention. Finishes long and mouthwatering.",Vigneto Santa Cecilia,88,9,Veneto,Valdadige,,Joe Czerwinski,@JoeCz,Tommasi 2001 Vigneto Santa Cecilia Chardonnay (Valdadige),Chardonnay,Tommasi
218,384,Italy,"Aromas of roses, pepper and spices make this an enticing wine. On the palate, it is ripe, soft, full-bodied and rich, lacking acidity, but otherwise classic Gew√ºrztraminer.",Sanct Valentin,88,30,Northeastern Italy,Alto Adige,,Roger Voss,@vossroger,San Michele Eppan 2002 Sanct Valentin Gew√ºrztraminer (Alto Adige),Gew√ºrztraminer,San Michele Eppan
219,386,US,"A first-rate wine, with well-ripened flavors of blackberries, espresso, cola, tea, and bitter chocolate, but made more interesting by fresh acidity not often seen in today's better Merlots. This cool-climate wine also has sturdy tannins that suggest mid-term aging.",Windacre Vineyard,88,34,California,Russian River Valley,Sonoma,,,Merriam 2000 Windacre Vineyard Merlot (Russian River Valley),Merlot,Merriam
220,387,US,"A great and versatile food wine. Its polished flavors of lime, fig and apricot are drizzled with Oriental spices and smoky oak. One of California's  most consistent wines, and rich enough to stand in for Chardonnay.",Reserve Fume,88,17,California,Alexander Valley,Sonoma,,,Murphy-Goode 2000 Reserve Fume Sauvignon Blanc (Alexander Valley),Sauvignon Blanc,Murphy-Goode
221,388,US,"Delicate and complex, a cool climate wine with a mixture of ripe cherry flavors and leaner ones of tobacco, tomato skin, and cranberry. Bone dry with excellent acidity, this somewhat tart wine is well made, and may be an ager.",Paragon Vineyard,88,25,California,Edna Valley,Central Coast,Roger Voss,@vossroger,Kynsi 1999 Paragon Vineyard Pinot Noir (Edna Valley),Pinot Noir,Kynsi
222,389,Italy,"A blend of grapes, so maybe it is not surprising that the aromas and flavors are a blend: melons, pears and limes, all presented with great freshness and verve alongside a rich texture. Editors' Choice.",Terlano Classico,88,15,Northeastern Italy,Alto Adige,,Joe Czerwinski,@JoeCz,Cantina Terlano 2002 Terlano Classico White (Alto Adige),White Blend,Cantina Terlano
223,396,US,"Rich in spicy, briary berry-cherry and chocolate fruit, with ultra-smooth tannins, and just enough acidity to cut through barbecue sauce. It's a bit sweet and Porty on its own.",Ancient Vines,85,16,California,California,California Other,,,Cline 2007 Ancient Vines Zinfandel (California),Zinfandel,Cline
224,399,Italy,"The wine starts off slowly due to a note of almond nut or cardboard that masks the natural fruit. Once it gets started, however, this luminous sparkling Prosecco offers cheerful notes of stone fruit and pear.",Extra Dry,85,24,Veneto,Prosecco di Valdobbiadene,,,,Astoria 2008 Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Astoria
225,400,Italy,"Tonic and lean with a nearly transparent color and lively perlage, this non-DOC Prosecco offers candy-like aromas of butterscotch and lemon soda. There's an interesting touch of crushed white peppercorn in there as well and this well-priced wine would make a perfect match to appetizers and finger foods.",Brut,85,13,Italy Other,Italy,,,,Cantine Maschio NV Brut Prosecco (Italy),Prosecco,Cantine Maschio
226,401,Italy,"This Extra Dry (slightly sweet) vintage Prosecco delivers a lean, slightly watery style and piquant bubbles that recall lemon soda. The wine is firm and steely in the mouth with tonic bubbling and layers of fresh fruit on the close.",Millesimato Extra Dry,85,19,Veneto,Prosecco di Valdobbiadene,,,,Val d'Oca 2008 Millesimato Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Val d'Oca
227,403,US,"Dry and acidic, this light-bodied wine has tart flavors of mashed cherries, cherryskins, orange zest and citrus fruits. It's a Bordeaux blend with Zinfandel and Sangiovese. Nice with pizza with prosciutto and olives.",Le Bon Viveur,85,15,California,California,California Other,,,Vinavanti 2005 Le Bon Viveur Red (California),Red Blend,Vinavanti
228,404,US,"Smells funky, with sweaty leather aromas, although you'll also find varietal notes of the grape. Tastes all right, with blackberries, currants, leather and mocha that are wrapped into firm tannins.",White Hawk Vineyard,85,45,California,Santa Barbara County,Central Coast,,,Vino V 2005 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,Vino V
229,405,Italy,"Citrus tones, peach, white flower and mineral notes come forward thanks to the wine's bright personality and zesty effervescence. There are soft notes of crushed pepper and loads of sweet stone fruit flavors to enjoy as well.",Extra Dry,85,19,Veneto,Prosecco del Veneto,,,,Viticoltori Ponte NV Extra Dry  (Prosecco del Veneto),Prosecco,Viticoltori Ponte
230,406,France,"A creamy, caramel- and pear-flavored wine, keeping freshness but enriched with an almond and custard tart finish.",Brut Mosa√Øque,85,30,Champagne,Champagne,,Roger Voss,@vossroger,Jacquart NV Brut Mosa√Øque  (Champagne),Champagne Blend,Jacquart
231,408,Italy,"This Prosecco delivers medium intensity and a compact, slightly watery mouthfeel followed by lime, kiwi, white flower, honey and chopped basil. The cheerful sparkler ends with creamy consistency thanks to the foamy quality of its effervescence.",Millesimato Extra Dry,85,15,Veneto,Prosecco di Conegliano e Valdobbiadene,,,,Le Vigne di Alice 2008 Millesimato Extra Dry  (Prosecco di Conegliano e Valdobbiadene),Prosecco,Le Vigne di Alice
232,409,US,"Fresh and delicate with floral and citrus overtones, this wine has an elegant character. Its dry, spicy flavors are subtle and refreshing, giving the wine food pairing flexibility. Ideally, though, think of spicy cuisine like Indian, Thai or Indonesian.",Dry,85,20,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,McGregor 2007 Dry Gew√ºrztraminer (Finger Lakes),Gew√ºrztraminer,McGregor
233,411,US,"A nice Cabernet for this everyday price. Dry and smooth, it shows interesting flavors of black currants, plums, herbs and spice, with a touch of smoky oak.",Split Oak Vineyard,85,12,California,California,California Other,,,Morro Bay 2006 Split Oak Vineyard Cabernet Sauvignon (California),Cabernet Sauvignon,Morro Bay
234,412,Italy,"Canah Brut Prosecco exhibits a slightly more saturated golden color and intense notes of mature peach, dried apricot with delicate mineral tones in the background. This rich sparkler is fatter and denser than most Proseccos and boasts an attractively low price tag.",Canah Brut,85,20,Veneto,Prosecco di Valdobbiadene,,,,Perlage 2008 Canah Brut  (Prosecco di Valdobbiadene),Prosecco,Perlage
235,414,Italy,"Here's a Prosecco with a broad and far-reaching aspect to its aromatic profile that recalls roasted almonds, mature peach and yellow rose. There's a pungent note in there as well of ash or talc powder and the sparkler ends with a playful blast of piquant spice.",Stefany Extra Dry,85,16,Veneto,Prosecco del Veneto,,,,Pizzolato NV Stefany Extra Dry  (Prosecco del Veneto),Prosecco,Pizzolato
236,416,Italy,This is an easy-going Prosecco with lively tones of stone fruit and citrus. The wine is informal and tonic which makes it perfect as an appetizer wine or with friends on a lazy summer afternoon.,Extra Dry,85,14,Veneto,Prosecco del Veneto,,,,Ca'Tullio NV Extra Dry  (Prosecco del Veneto),Prosecco,Ca'Tullio
237,421,US,"All varietal, this wine is a blend of fruit from top sites Ciel du Cheval, Conner Lee, Obelisco and Stonetree. The aromas are quite reserved, with notes of barrel spice that are followed by full-bodied fruit flavors with a spicy finish. It drinks well but the variety seems lost.",Confidential Source,89,30,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Guardian 2013 Confidential Source Merlot (Columbia Valley (WA)),Merlot,Guardian
238,422,US,"The light aromas suggest notes of star fruit and citrus. The palate is flavorful, with racy acids keeping the fruit in focus.",Blue Mountain Vineyard,89,20,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Kerloo 2015 Blue Mountain Vineyard Grenache Blanc (Walla Walla Valley (WA)),Grenache Blanc,Kerloo
239,424,US,"This wine is dry and rather full bodied, starting with fruity aromas like banana and coconut then seguing to more nutty, oaky, complex flavors and a rich texture. It's a serious dinner wine with heft and substance.",Verdigris,89,30,California,California,California Other,Jim Gordon,@gordone_cellars,Las Positas 2014 Verdigris White (California),White Blend,Las Positas
240,425,US,"Blossom and berry notes are accented by hints of smoked nut in this refreshingly light-bodied wine. Zesty and lithe on the palate, it's an ideal summer-to-fall ap√©ritif or porch sipper. The moderately long finish is marked with a hint of waxy florals.",Bridge Lane,89,18,New York,New York,New York Other,Anna Lee C. Iijima,,Lieb 2015 Bridge Lane Ros√© (New York),Ros√©,Lieb
241,426,Spain,"Slightly foxy on the nose, with rubbery aromas of cherry and cassis, this offers a tight, tannic palate with hard, elastic tannins. Flavors of cherry and cassis are pleasant, while the finish is ripe, warming and healthy.",Seis,89,18,Northern Spain,Rioja,,Michael Schachner,@wineschach,Luberri 2011 Seis  (Rioja),Tempranillo,Luberri
242,427,US,"A touch blossomy against a core of ripe raspberry and cherry perfume, the nose on this traditional-method Pinot Noir sparkler is particularly alluring. The palate is elegant and fresh, marked by fine, mouthfilling mousse and delicate raspberry-candy finish.",Cuv√©e Gabriella Brut Ros√©,89,35,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Macari 2010 Cuv√©e Gabriella Brut Ros√© Sparkling (North Fork of Long Island),Sparkling Blend,Macari
243,429,US,"Aromas of coffee, barrel spice and dark-blue fruit lead to rich, full-bodied blackberry and spice flavors. It's not for the faint of heart but delivers a lot of enjoyment.",The Estates Clifton Hill Vineyard,89,42,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Milbrandt 2013 The Estates Clifton Hill Vineyard Syrah (Wahluke Slope),Syrah,Milbrandt
244,430,US,"Yellow pear, fresh-squeezed lime, light mint and wet-cement aromas show on the brisk nose of this bottling by veteran Adam Tolmach. A grippy texture and lively acidity frame the palate, where green apple and lime flavors show. It's clean, pure and easy.",McGinley Vineyard,89,30,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Ojai 2014 McGinley Vineyard Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Ojai
245,431,US,"This Tempranillo-based pinkie is quite inviting and tightly textured, with aromas of orange shave ice, strawberry cream, watermelon and cement. It is extremely zesty and lively once sipped, offering easy-to-drink raspberry and melon notes. It's great for all sorts of food, from spicy to rich.",Indie,89,24,California,Templeton Gap District,Central Coast,Matt Kettmann,@mattkettmann,ONX 2015 Indie Tempranillo (Templeton Gap District),Tempranillo,ONX
246,432,US,"The aromas of whole lime, flowers, jasmine and watermelon Jolly Rancher pop. It drinks off dry, with floral flavors that carry through the finish.",Upland Vineyard,89,16,Washington,Snipes Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Pomum 2014 Upland Vineyard Riesling (Snipes Mountain),Riesling,Pomum
247,433,US,"Smoky aromas and a bold apricot flavor give this dry and seemingly light-bodied wine a distinct personality. Fermented in small concrete egg-shaped vats, it's far from simple and fruity, and instead offers great acidity and a tangy, tempting, appetizing personality.",Stepping Stones,89,27,California,Santa Barbara County,Central Coast,Jim Gordon,@gordone_cellars,Prospect 772 2014 Stepping Stones Grenache Blanc (Santa Barbara County),Grenache Blanc,Prospect 772
248,434,Italy,"Coffee, toasted oak, coconut and raspberry confiture aromas lead the way. On the dense palate, dark chocolate, oak and licorice accent fleshy black cherry while fine-grained tannins provide support.",Rocche dell'Annunziata,89,89,Piedmont,Barolo,,Kerin O‚ÄôKeefe,@kerinokeefe,Revello Fratelli 2012 Rocche dell'Annunziata  (Barolo),Nebbiolo,Revello Fratelli
249,436,Italy,"Aromas of apricot and white spring flower lift out of the glass. The apricot note follows through to the palate, along with yellow peach, honeydew melon and almond, all framed in bright acidity. This one closes on a flinty note.",Gold Label,89,15,Piedmont,Gavi,,Kerin O‚ÄôKeefe,@kerinokeefe,Tenuta La Marchesa 2015 Gold Label  (Gavi),Cortese,Tenuta La Marchesa
250,437,US,"Blended from all five Bordeaux varieties, with Cabernet Sauvignon and Merlot almost equal in proportion, this is a lovely, well-crafted wine, softly concentrated with highlights of licorice, lavender, violets and black pepper. From three ranches farmed by the family, it's both seamless and structured.",Henry's Blend,89,54,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Trione 2012 Henry's Blend Red (Alexander Valley),Bordeaux-style Red Blend,Trione
251,438,Spain,"Fresh, focused and tight on the nose, with an undertone of mild oak and earth, this gets going with ease. A fresh, fruity palate is just rugged enough, while flavors of black plum, cherry, licorice and herbs finish toasty, spicy and firm.",S√©culo,89,15,Northern Spain,Bierzo,,Michael Schachner,@wineschach,Vinos de Arganza 2012 S√©culo Menc√≠a (Bierzo),Menc√≠a,Vinos de Arganza
252,439,Spain,"Leathery berry and savory, smoky oak aromas are a rugged introduction to a stout palate with juicy acidity. Flavors of baked plum, hard spices, salt and savory herbs finish with rubbery tannins, energy and spicy, peppery flavors.",Marqu√©s de Montejos Selecci√≥n,89,42,Northern Spain,Vino de la Tierra de Castilla y Le√≥n,,Michael Schachner,@wineschach,Vinos de Arganza 2013 Marqu√©s de Montejos Selecci√≥n Menc√≠a (Vino de la Tierra de Castilla y Le√≥n),Menc√≠a,Vinos de Arganza
253,442,US,"Voluptuous blackberry and plum flavors are edged by hints of bitter coffee and spice in this richly bodied wine. Fringed by a bare feather of tannins, it's luscious in mouthfeel, with an unctuousness that persists luxuriously on the palate.",Caya,89,35,New York,Long Island,Long Island,Anna Lee C. Iijima,,W√∂lffer 2013 Caya Cabernet Franc (Long Island),Cabernet Franc,W√∂lffer
254,443,US,"Berry crumble and licorice star in this full-bodied, hearty and smooth wine, blended with 4% Petite Sirah. Spicy oak and milk chocolate unleash further flavor and spice on the finish.",Estate Grown,88,32,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Dunbar 2012 Estate Grown Zinfandel (Sonoma Valley),Zinfandel,Dunbar
255,445,Italy,"Vibrant and savory, this has aromas of red berry, blue flower and a whiff of baking spice. The bright palate doles out red cherry, juicy strawberry, and star anise alongside bright acidity that gives it a crisp finish.",Vigorosa Rosato,88,28,Sicily & Sardinia,Etna,,Kerin O‚ÄôKeefe,@kerinokeefe,Fattorie Romeo del Castello 2015 Vigorosa Rosato Nerello Mascalese (Etna),Nerello Mascalese,Fattorie Romeo del Castello
256,447,France,"The wine is initially soft with melon and ripe pear fruit. Behind this fruity exterior, there is a crisper citrus character that is bright and light. It's a ripe wine, all fruit with a tighter, mineral aftertaste. Drink from 2017.",Domaine de la Vieille Cure Sur Lie,88,14,Loire Valley,Muscadet S√®vre et Maine,,Roger Voss,@vossroger,Gadais P√®re et Fils 2015 Domaine de la Vieille Cure Sur Lie  (Muscadet S√®vre et Maine),Melon,Gadais P√®re et Fils
257,448,France,"This appealing blend of 50% Roussanne, 30% Grenache Blanc and 20% Clairette is tight and citrusy on the nose, broadening out on the palate to offer hints of apple, pineapple and underripe melon. Drink now.",Domaine de la Becassonne,88,19,Rh√¥ne Valley,C√¥tes du Rh√¥ne,,Joe Czerwinski,@JoeCz,Andr√© Brunel 2014 Domaine de la Becassonne White (C√¥tes du Rh√¥ne),Rh√¥ne-style White Blend,Andr√© Brunel
258,449,Italy,"Aligi Sassu is a lovely sparkler without added sugar or liqueur. It offers a fragrance of white flower, lemon drop and nut. The palate delivers citrus, apple and almond flavors along with refined, persistent bubbles and a bone-dry finish.",Pas Dos√© Aligi Sassu,92,39,Lombardy,Franciacorta,,Kerin O‚ÄôKeefe,@kerinokeefe,Majolini 2006 Pas Dos√© Aligi Sassu Chardonnay (Franciacorta),Chardonnay,Majolini
259,451,Italy,"Here's an enticing Vino Nobile offering aromas of underbrush, tobacco leaf, ripe cherry and spice. The palate delivers succulent black cherry, plum, cinnamon and nutmeg along with velvety tannins. Although it shows the warmth of the vintage, it still retains elegance and class. Delicatio Wines, Golden Vines.",Messaggero,92,35,Tuscany,Vino Nobile di Montepulciano,,Kerin O‚ÄôKeefe,@kerinokeefe,Montemercurio 2007 Messaggero  (Vino Nobile di Montepulciano),Sangiovese,Montemercurio
260,453,France,"This is a rich, bottle-aged wine is bright with lemon and green-apple fruitiness, but it's starting to develop secondary flavors‚Äînotes of toast, almonds and cookies‚Äîas well. It's at just the right stage of development and ready to drink now.",Brut Prestige,92,69,Champagne,Champagne,,Roger Voss,@vossroger,Philippe Fontaine NV Brut Prestige  (Champagne),Champagne Blend,Philippe Fontaine
261,454,Canada,"An aromatic knockout with notes of peach, papaya, lychee and brown sugar. At 250 g/L of residual sugar, it's dense and rich with carmelized sugar flavors and a lengthy finish.",Reserve Icewine,92,30,Ontario,Niagara-On-The-Lake,,Sean P. Sullivan,@wawinereport,Pillitteri 2012 Reserve Icewine Vidal (Niagara-On-The-Lake),Vidal,Pillitteri
262,455,US,"Fine acidity and a bracing minerality, like a lick of cold steel on a winter day, mark this Chardonnay. It has oak notes, but they're wisely kept in the background, allowing the citrus, green apple and peach flavors to star. This beautiful wine continues the winery's string of great reserve Chardonnays, and is their best since the 2006 vintage.",Reserve,92,40,California,Carneros,Napa-Sonoma,,,Robert Mondavi 2011 Reserve Chardonnay (Carneros),Chardonnay,Robert Mondavi
263,456,US,"Thickly moussed, Roederer's Brut, 60% Chardonnay blended with 40% Pinot Noir, aged two years on yeast is affordable and luxurious. A gorgeous, very dry sparkling wine with aromatics of honey, raisin, apple and pear, it is rich and soft and offers both depth and length. It's an ideal marriage of bright acidity and ripe fruit character.",Brut,92,23,California,Anderson Valley,,Virginie Boone,@vboone,Roederer Estate NV Brut Sparkling (Anderson Valley),Sparkling Blend,Roederer Estate
264,457,US,"With a wine this finely constructed, the question is always ageability. There's no question about the immediate deliciousness. It's thrilling with raspberries, strawberries, orange rind and cola, and complex notes of minerals and earth. The mouthfeel is absolutely beautiful, comprised of silk and satin brightened with acidity. So should you drink it now? Yes. Will it age? For the next six years, yes.",Solomon Hills Vineyard,92,45,California,Santa Maria Valley,Central Coast,,,Rusack 2011 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Rusack
265,458,Italy,"From one of Franciacorta's leading producers, Gran Cuv√©e Pas Oper√© offers an enticing fragrance of acacia flower, white flowers and beeswax. The creamy palate delivers apple, nut, spice, thyme and sage along with fine, persistent effervescence.",Gran Cuv√©e Pas Oper√©,92,50,Lombardy,Franciacorta,,Kerin O‚ÄôKeefe,@kerinokeefe,Bellavista 2006 Gran Cuv√©e Pas Oper√© Sparkling (Franciacorta),Sparkling Blend,Bellavista
266,459,France,"A rich, bottled-aged wine, full of toast as well as apple and crisp grapefruit flavors, this has great balance and elegance. It's full of fruit, but structured and seamlessly integrated. It's ready to drink now, but will also improve with age. Drink until 2020.",Tzarina No 1 Brut,92,100,Champagne,Champagne,,Roger Voss,@vossroger,Chanoine NV Tzarina No 1 Brut  (Champagne),Champagne Blend,Chanoine
267,460,US,"Proving that exceptional wines can be (and were) made in this cool, light vintage, this estate-grown selection is both elegant and complex. Flavors of mixed wild berries, a streak of tea, a whiff of peach and compelling balance carry it through an extended finish.",Ridgecrest Vineyards,92,50,Oregon,Ribbon Ridge,Willamette Valley,Paul Gregutt,@paulgwine¬†,Chehalem 2011 Ridgecrest Vineyards Pinot Noir (Ribbon Ridge),Pinot Noir,Chehalem
268,461,US,"A marvelous Pinot Blanc, this combines aromatic hints of almond with mixed citrus fruit and rind, zippy acidity and a great wash of minerality. It cleanses and tickles the palate, lingering sensuously through a finish of surprising depth.",Stoller Vineyards,92,29,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine¬†,Chehalem 2012 Stoller Vineyards Pinot Blanc (Dundee Hills),Pinot Blanc,Chehalem
269,462,France,"This big, ripe and fruity wine shows both the richness and the structure of the vintage, but never loses sight of balance. It's full of rich yellow fruits, green plums and citrus, but structured with refreshing acidity, a minerally texture and gentle hints of wood aging. Drink from 2015.",Blagny Premier Cru,92,66,Burgundy,Meursault,,Roger Voss,@vossroger,Henri de Villamont 2010 Blagny Premier Cru  (Meursault),Chardonnay,Henri de Villamont
270,463,France,"This is a beautiful wine showing remarkable richness and maturity. Hints of toast and bright fruits combine seamlessly to yield a full, ripe wine marked with with intense acidity. With concentration from old vines showing strongly, it's a wine that's ready to drink now.",Cuv√©e Marguerite Brut,92,60,Champagne,Champagne,,Roger Voss,@vossroger,Vollereaux 2007 Cuv√©e Marguerite Brut  (Champagne),Champagne Blend,Vollereaux
271,465,Italy,"Morar is a spicy Amarone with a fragrance of raisin, baked plum, tobacco and black pepper. The palate delivers lush black cherry and raspberry flavors mingled with intense white pepper, clove and nutmeg notes. It's smooth and rich with enough freshness to make this a perfect match for seasoned cheeses or roasted red meat.",Morar,92,69,Veneto,Amarone della Valpolicella,,Kerin O‚ÄôKeefe,@kerinokeefe,Valentina Cubi 2008 Morar  (Amarone della Valpolicella),Red Blend,Valentina Cubi
272,467,US,"Dense, dark and spicy, this opens with a thicket of briar and bramble‚Äîone almost wants to say thistle‚Äîwrapped around taut, compact black fruits. There is a hint of gun metal running through the palate, and as the wine warms and slowly opens, it reveals a lingering finish with a little pat of butter left on the tongue. This should be in fine shape for at least another decade.",Evenstad Reserve,92,65,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine¬†,Domaine Serene 2010 Evenstad Reserve Pinot Noir (Willamette Valley),Pinot Noir,Domaine Serene
